actor_1_name,actor_1_facebook_likes
Anthony Simcoe,82
Neil Flynn,625
Tracy Morgan,642
Michael Roark,680
Fedor Bondarchuk,35
Klaus Maria Brandauer,172
Taylor Blackwell,641
Reeve Carney,602
Colin O'Donoghue,3000
Kenan Thompson,521
Lynn Hung,79
Lindsay Sloane,464
Nichelle Nichols,664
Robert Mitchum,1000
Nicole Sullivan,358
Matt McCoy,398
Marg Helgenberger,759
Anne Parillaud,130
Kevin Connolly,638
Riley Smith,762
Ike Barinholtz,329
Maude Apatow,130
Victor Webster,940
Jaymes Butler,2000
Zelda Rubinstein,770
Vic Morrow,257
Raul Julia,1000
Hiam Abbass,224
Paris Hilton,716
Cameron Boyce,915
Jesse Tyler Ferguson,648
Chad Lindberg,445
J.T. Walsh,263
Benjamin J. Cain Jr.,73
Portia de Rossi,573
Richard T. Jones,328
Lucy Gordon,61
Cariba Heine,351
Dann Florek,367
Nat Faxon,214
Tye Sheridan,1000
Lela Rochon,316
Martin Donovan,206
Soleyman Pierini,22
Lee Arenberg,457
Jesse Borrego,674
Gregg Henry,298
Jeffrey Dover,2
Hanaa Bouchaib,9
Aml Ameen,149
June Diane Raphael,249
Kevin J. O'Connor,248
Yûki Amami,3
Melissa Benoist,970
Eva Marie Saint,649
Fana Mokoena,98
Brianne Brozey,15
Veronika Vernadskaya,150
Stephen Boss,594
David Kross,388
Cas Anvar,491
Danny Nucci,242
Kyle Schmid,917
Pat Hingle,165
Mike Doyle,160
Marc Anthony,368
Nancy Travis,359
Rollo Weeks,239
Olympia Dukakis,345
Lois Chiles,202
Mika Boorem,495
Peter Jason,151
Chita Rivera,151
Lucas Bryant,359
Jed Brophy,433
Bill Fagerbakke,542
Spencer Treat Clark,541
Bern Cohen,805
Casey Kasem,844
June Squibb,344
Vincent Leclerc,18
Christine Cavanaugh,368
Scott Adsit,316
Audrey Fleurot,204
Fred Ward,459
Alison Doody,439
Geraldine McEwan,269
Alfie Allen,1000
Marcia DeBonis,60
Ken Takakura,255
Bernardo Saracino,221
Christian Stolte,189
Mark Rendall,72
Vicky Krieps,33
Alan Oppenheimer,271
David Costabile,681
Robert Lopez,73
Mimi Rogers,291
Kirk Baltz,199
Josh Hopkins,491
Jacki Weaver,401
Drea de Matteo,739
Stephen Baldwin,561
Lobo Sebastian,206
Christopher Cousins,93
Reid Ewing,343
Michael Greyeyes,909
David Suchet,586
Texas Battle,315
James Burnett,236
Stark Sands,143
Phil LaMarr,857
Atom Egoyan,460
Richard Roundtree,240
Saïd Taghmaoui,378
Bill Paterson,142
Toby Leonard Moore,181
Holly Valance,816
Patrick Lyster,11
Dallas Roberts,405
Kirk Acevedo,641
Milos Forman,869
Bradley Pierce,409
David Julian Hirsh,147
Jason Lewis,948
Neil Brown Jr.,427
Amrish Puri,429
Cree Summer,503
Nina Arianda,183
Kevin Chamberlin,489
Yû Aoi,59
Rebecca De Mornay,872
David Sparrow,9
Noah Lomax,447
Omri Katz,336
Deborah Twiss,488
Dilshad Vadsaria,579
Danny Masterson,1000
Brenda Blethyn,286
Richard Sammel,194
Oleg Taktarov,327
Bob Clendenin,347
Philippe Labro,3
Mary McCormack,428
Amber Valletta,626
Bella Heathcote,860
Tulku Jamyang Kunga Tenzin,2
Katherine Parkinson,261
Elena Anaya,1000
Robert Maillet,727
Kabir Bedi,303
Sofia Vassilieva,489
Judy Davis,223
Andrew Simpson,99
Aretha Franklin,809
Jeremy Jordan,773
Christopher Webster,5
Bridget Fonda,888
Barret Oliver,312
Art Carney,154
Jean Marsh,146
Junix Inocian,132
Amy Carson,4
Adhir Kalyan,402
Julie Gonzalo,528
Martin Clunes,264
Boyd Holbrook,439
Kaitlin Olson,547
Dirk Bogarde,232
Carl Gilliard,285
Michael Landes,439
Kate Walsh,850
Larry Hankin,412
Todd Allen,130
Gregory Itzin,216
Kirstie Alley,980
Chelsea Field,95
Maia Morgenstern,252
Igor Jijikine,65
Ava Acres,213
Leslie Caron,399
Gedde Watanabe,448
Patrick Troughton,139
Gina Holden,346
Riley Thomas Stewart,220
David O'Hara,736
Paul F. Tompkins,111
Flea,535
Katharine McPhee,852
Keshia Knight Pulliam,619
Jonathan Breck,270
Tom Arnold,618
Alexandra Breckenridge,1000
Emma de Caunes,132
Salli Richardson-Whitfield,543
Aaron Staton,702
John Gielgud,249
Park Bench,81
Richard Anderson,377
Richard Briers,401
J.B. Smoove,555
Cjon Saulsberry,571
Trevor Blumas,89
Tyrone Giordano,172
Taron Egerton,732
John Sparkes,7
Nia Peeples,444
Matthew Knight,464
Gillian Jacobs,837
Jonathan Tucker,664
Emily Meade,374
Timothy Bottoms,155
Zach Grenier,246
Megan Mullally,637
Paul Anderson,154
Jorma Taccone,434
Devon Murray,219
Steve Railsback,246
Kate Burton,223
Malonn Lévana,20
Tom Amandes,151
Madison Davenport,459
Jane Krakowski,624
Laz Alonso,826
Christopher Evan Welch,252
Sam McMurray,132
Donovan Scott,54
Joe Pingue,30
Erica Linz,31
Aidan McArdle,266
Sean Buchanan,234
Jenny McCarthy,749
André Wilms,9
Evgeniy Mironov,15
Mackenzie Crook,870
Dan O'Herlihy,128
Mario Van Peebles,535
Jeff Anderson,216
Diana Ross,295
Ellen Albertini Dow,957
Robert Wagner,481
Kelly Brook,859
Kenneth Williams,83
Kenny Baker,504
Priscilla Presley,348
Ellen Barkin,551
Brian Johnson,128
Jessica Bowman,81
Keeley Hawes,228
Dan Hedaya,281
Dash Mihok,463
Ian Hart,261
Benoît Poelvoorde,86
Iben Hjejle,123
Roger Lloyd Pack,539
Kim Thomson,25
Dick Van Patten,605
Michael Papajohn,241
Charlotte Le Bon,201
Jeremy Northam,327
Amber Rose Revah,134
Bobby Moynihan,311
Pawel Szajda,104
Neil Diamond,226
Paulo Costanzo,486
Noémie Lenoir,173
Ben Crompton,257
Joe Spinell,85
Ludivine Sagnier,521
Diego Ramos,10
Warren Clarke,281
John Aylward,219
Rachel Blanchard,490
Cherry Jones,242
Karen Allen,783
Steve-O,362
Murray Hamilton,366
Nick Krause,727
Zane Holtz,265
Bobby Coleman,360
Fernando Rey,165
Phil Collins,455
Skye McCole Bartusiak,392
John Fiedler,253
Joseph Julian Soria,465
David Mann,378
Jamey Sheridan,168
Thekla Reuten,191
Constance Marie,441
Dave Foley,401
Harriet Walter,119
Keram Malicki-Sánchez,333
Jan Cornet,76
Ron Eldard,385
Jesper Christensen,100
Jason Beghe,297
Thomas Law,55
Damien Garvey,37
Leo Howard,570
Marc John Jefferies,441
James Gammon,311
Vera Miles,332
John Wood,92
Jan Hooks,367
Chi Ling Chiu,62
Mark Feuerstein,417
Shaun Toub,206
Tom Hollander,555
Robert Miano,216
Carroll Baker,208
Vincent Regan,447
Ariel Gade,87
Tiffany Dupont,249
Dequina Moore,41
Dustin Nguyen,220
Christopher Guest,378
Vanessa Angel,384
Susie Essman,99
Ricardo Montalban,641
Katherine Waterston,178
Caity Lotz,941
Eric McCormack,440
Ty Olsson,429
Dexter Fletcher,452
Charlie Saxton,224
Anne Heche,681
Bill Lake,18
Randy Jones,174
Guang Li,10
Garrett Clayton,532
Yuqi Zhang,33
Laura Spencer,368
George Coulouris,11
Aaron Ashmore,750
Traci Dinwiddie,281
Michael Lieber,36
Maggie Wheeler,282
Michael Spears,839
Mary J. Blige,269
Erin O'Brien,634
David Agranov,308
Jenni 'Jwoww' Farley,230
Ryûnosuke Kamiki,10
Sophie Nélisse,526
Mel Ferrer,134
Kyra Nichols,0
Shawn Roberts,529
Angelica Lee,39
Carla Gallo,798
Amy Yasbeck,424
Ken Davitian,165
Raquel Welch,788
Louis Mandylor,312
Lindsay Duncan,171
David Alan Basche,68
Olivia d'Abo,476
Roger Ashton-Griffiths,144
Susan May Pratt,220
Alex Borstein,566
Marie Avgeropoulos,800
Richard Farnsworth,262
Dennis Franz,376
Paul Freeman,193
Annie Parisse,341
Shelley Long,422
Shaun Evans,204
Karen Young,67
Ralph Richardson,115
Kerry Condon,416
Khulan Chuluun,12
Michael Beck,278
Suzie Steen,258
Burghart Klaußner,43
Anna Harr,290
Brad Renfro,551
Nora von Waldstätten,30
Simón Andreu,35
John Amplas,177
Catherine McCormack,306
Brigitte Nielsen,312
Mari Koda,152
Shawn Andrews,67
Elaine Cassidy,203
Carrie Henn,626
Rex Harrison,272
Patrick Gallagher,306
Owain Yeoman,459
Molly Shannon,636
Chris Kattan,357
Jenna Boyd,517
Valente Rodriguez,234
Adam Boyer,503
Hana Mae Lee,751
Larry the Cable Guy,400
Kevin Clash,436
Elizabeth Blackmore,150
Harland Williams,503
Clé Bennett,122
David Murray,96
Brady Corbet,287
Jess Harnell,262
Jan-Michael Vincent,642
Rick Gomez,152
Tamara Tunie,508
Gretchen Palmer,73
Ron Lester,255
Atticus Shaffer,787
Vincent Walsh,118
Jessika Van,921
Alonna Shaw,67
Joe Cornish,115
Amy Sedaris,396
Don Pardo,410
Alexandra Holden,326
Marian Seldes,403
Jon Polito,309
Natasha Richardson,708
Kad Merad,55
Jodie Whittaker,304
Emily Alyn Lind,289
Tanya van Graan,170
Trond Fausa,57
Jake Lloyd,626
Ryôko Hirosue,46
Pei-Pei Cheng,21
Tony Jay,384
Bobby Campo,292
Ji-won Ha,80
Ayelet Zurer,744
Megan Charpentier,340
Georgina Cates,38
Sylvia Syms,48
Tessa Thompson,431
Adam Lamberg,738
Conchata Ferrell,658
Virginia Capers,22
JoAnna Garcia Swisher,983
José Ferrer,202
Tim Daly,511
Matthew Daddario,110
Luke Benward,807
Erica Leerhsen,184
Hutch Dano,316
Joey Lawrence,786
Firass Dirani,239
Cinda McCain,646
Akie Kotabe,614
Patrick Bergin,308
Nina Hoss,164
Cam Clarke,173
The Edge,67
Adrian Paul,786
Brian Van Holt,324
Keith Allen,66
Kyla Pratt,417
Nicole de Boer,319
Anna Madeley,49
Susan Ward,397
Agnes Bruckner,400
Eduardo Noriega,278
Kalim Chandler,134
Gustav Fröhlich,23
Cyril Raffaelli,297
Vladimir Garin,13
Petchtai Wongkamlao,45
JJ Feild,794
Gina Bellman,476
Wendy Crewson,248
Gael Le Cornec,165
Hans Matheson,627
Lucy Gaskell,55
Rodrigo De la Serna,57
Daniel Wu,353
David Rasche,220
Saurabh Shukla,56
Andrea Martin,179
Linda Kozlowski,162
Steve Gonsalves,130
Mike Nawrocki,12
Roger Guenveur Smith,266
Lance Gross,849
Bethany Joy Lenz,855
Eliza Coupe,490
Sharon Lawrence,215
Julie Kavner,233
Angela Featherstone,102
Todd Boyce,15
Ruth Sheen,44
Shawn Yue,32
Katherine LaNasa,329
Olaf Lubaszenko,3
Stephen Marcus,230
Marian Dziedziel,2
Bruno Ganz,653
Lola Dueñas,114
Paul Brannigan,50
Stephanie Danielson,391
Sean Kingston,69
Rodney Eastman,125
Patrick Wayne,439
Brett Cullen,350
Mark Webber,442
Dom DeLuise,842
Elliott Gould,471
Kate del Castillo,345
Sonoya Mizuno,145
Orson Bean,216
Ella Wahlestedt,587
Kazunari Ninomiya,85
David Dencik,94
Josie Loren,528
Kathryn Morris,573
Sarita Choudhury,257
Daniel Auteuil,370
Meghan Heffern,153
Ian Gomez,155
Luke Treadaway,305
Nikola Djuricko,164
Tara Platt,461
Dean Dawson,81
Aden Young,238
Louis Herthum,157
Margo Harshman,668
Mary Astor,185
Sheila Hancock,32
Eric Schweig,322
Gabriel Damon,320
Bin Won,517
Randall 'Tex' Cobb,255
Jason George,528
Jason Cottle,17
Eric Winter,954
Amy Irving,194
Michael Palin,561
Katherine Boecher,188
Kirby Bliss Blanton,329
Jerry Nelson,94
Ashley Ashida Dixon,9
Richard Dysart,122
Kathryn Erbe,301
Kelvin Taylor,939
Mare Winningham,482
Anne Meara,837
Joanna 'JoJo' Levesque,826
Cara Delevingne,558
Edi Gathegi,725
Rosemarie DeWitt,536
Michael Lerner,230
Martin Semmelrogge,21
Jonny Weston,328
Veronika Dash,223
Aleksa Palladino,255
Joseph Cross,398
Kelly Clarkson,281
Nick Damici,65
Sabrina Ferilli,98
Michael Harding,165
Erin Boyes,46
Péter Fancsikai,2
Ni Yan,4
Yuanyuan Gao,32
Meisa Kuroki,33
Kenneth Cranham,111
Michael Dorman,168
Kelly LeBrock,445
Connor Corum,116
Matt Marr,85
Tetsu Watanabe,6
Ching Wan Lau,27
Peter Cushing,1000
Zoey Deutch,851
Klaus Kinski,396
Selton Mello,68
Matt Prokop,734
Alicia Keys,551
Gabrielle Carteris,330
Bud Cort,394
Fiona Glascott,55
Steven Berkoff,293
Sheridan Smith,156
Alan Van Sprang,147
Max Casella,275
Andrew Keegan,835
Wayne Pygram,163
Anthony Zerbe,275
David Kennedy,35
Sean Harris,641
Lina Esco,79
Deborra-Lee Furness,71
Gary Lockwood,117
Dee Wallace,725
Marc Donato,450
Kelli Williams,446
Johnny Flynn,102
Boman Irani,154
Taylor Handley,362
Eduardo Verástegui,377
Eric Elmosnino,29
Keegan Connor Tracy,392
Richard Beymer,249
Kevin Nealon,503
Patricia Belcher,322
Ron Moody,275
Andrew Lawrence,563
Hayley Kiyoko,542
Vanity,841
Austin O'Brien,211
Al Leong,730
Kevin Tighe,472
Oona Laurence,424
Herbert Lom,278
Jessica Capshaw,533
Clarence Williams III,475
Richard Lynch,324
Nicholas Turturro,269
Simon Rhee,67
Lindy Booth,683
Paul Ben-Victor,218
Zayn Malik,734
Allison Tolman,562
Chad Allen,232
Mark Moses,353
Clotilde Mollet,3
Iddo Goldberg,269
Tamala Jones,405
Toby Huss,342
Evan Ross,616
Waris Ahluwalia,110
Lesley Ann Warren,296
Anthony LaPaglia,576
Tracey Walter,324
Tim DeKay,436
Stephanie Vogt,35
Maria Dizzia,139
Eddie 'Piolin' Sotelo,252
John Neville,387
Rekha,200
Scott A. Martin,414
Norah Jones,329
Sergej Trifunovic,175
Karen Mok,83
Cheryl Tiegs,96
Claire Foy,362
Aitana Sánchez-Gijón,130
Ryan Donowho,181
Dulé Hill,922
Michael Winslow,542
Andrés Montiel,61
Jared Gilman,545
Harvey Weinstein,474
Reef Ireland,52
Leonor Watling,161
Gyton Grantley,109
Craig Fairbrass,258
Mishael Morgan,152
Charlotte Bøving,10
Jesse Moss,136
Luke Perry,608
Victor Rivers,228
Emmanuelle Riva,432
Roger Cross,290
Joe Flaherty,176
Michaela McManus,476
Steven Michael Quezada,412
Edwin Neal,371
Paul Michael Glaser,343
Earl Cameron,189
Shanley Caswell,383
Alessandro Preziosi,26
Alex Vincent,189
Tucker Albrizzi,203
Denholm Elliott,249
Crystal Lowe,318
Tate Taylor,150
Nicky Katt,127
Katherine Kelly Lang,170
John Carradine,300
Garry Shandling,591
Jun Kunimura,5
Heather Morris,892
Chatchai Plengpanich,6
Adrienne Barbeau,602
Julie Engelbrecht,41
Vince Colosimo,62
Thure Lindhardt,197
Ronit Elkabetz,168
Steven Waddington,212
Maïwenn,236
James Arnold Taylor,296
Jami Gertz,847
Frederic Forrest,236
David Hemmings,178
Louisa Milwood-Haigh,6
Max Beesley,218
Sung-kee Ahn,15
Casey Siemaszko,107
Clive Standen,687
Orla Fitzgerald,8
Madhuri Dixit,551
Deborah Kerr,426
Bergüzar Korel,197
Jim Henson,985
Lindsay Price,499
Angela Cartwright,209
Howard Morris,161
Steven Christopher Parker,150
Frances Lee McCain,107
Megan Burns,32
Marques Houston,363
Lynn Whitfield,434
David Denman,332
Lola Glaudini,342
Dabney Coleman,345
Natalie Stephany Aguilar,163
George Lazenby,314
Heather Langenkamp,449
Sean Michael Afable,801
Richard Howland,290
Omar Metwally,277
Ben Falcone,265
Vince Vieluf,261
Robbie Kay,629
Laurel Holloman,273
Marina Sirtis,649
Mick Lally,5
Karen Pittman,12
Tony Devon,257
Larry Drake,513
Chris Owen,526
Zen McGrath,63
Takeshi Kusao,5
Roy Dupuis,265
Josh Henderson,920
Ruby Lin,20
Lucy Fry,206
Mark Wingett,524
Helena Mattsson,505
Anita Mui,147
Reda Kateb,154
Paul Gross,329
Brenda Strong,266
Edouard Baer,59
Om Puri,163
Michael McElhatton,415
Nathin Butler,65
Mary Goggin,249
Elyas M'Barek,150
Aki Aleong,284
Lois Maxwell,177
Cynthia Rhodes,174
Ian Mune,18
Geoffrey Holder,547
Sakina Jaffrey,109
Michael J. Burg,68
Hervé Villechaize,387
Shauna Macdonald,239
Michael Jordan,366
Allison Miller,479
Mary Tyler Moore,524
Ken Foree,649
Rick Fox,256
Matthew McGrory,340
Elizabeth MacRae,29
Fred Melamed,105
Teddy Sears,343
Barbara Hershey,618
George Wendt,412
Martin Henderson,579
David Gulpilil,93
Nathaniel Lees,43
Preity Zinta,860
Randy Couture,518
Tim Guinee,259
Cheryl Ladd,476
Terence Hill,750
Isabelle Nanty,54
Chris Pontius,218
Susie Abromeit,216
Casey Affleck,0
Yuriy Tsurilo,4
David Della Rocco,333
Wendee Lee,62
Kate Higgins,35
Justin Edward Seale,147
Johanna Wokalek,66
Jason Cerbone,83
Mélissa Désormeaux-Poulin,66
Silvio Muccino,29
Brendan Coyle,418
Fernanda Machado,39
Magda Szubanski,46
Lloyd Avery II,26
Rosanna DeSoto,63
Len Cariou,167
Marin Hinkle,230
Paula Kelly,112
Juliane Köhler,36
Sara-Marie Maltha,2
Chulpan Khamatova,51
Mark Bazeley,54
Fortunato Cerlino,9
Stevie Wonder,328
Ted Cassidy,566
Glynis Johns,279
George Chakiris,271
Rodney Dangerfield,573
Kelly Jo Minter,101
John D'Leo,245
Ossie Davis,282
Richard Norton,155
Tuppence Middleton,888
Tamara Glynn,256
Brandon Smith,106
Daryl Hannah,0
Annette Badland,497
Windell Middlebrooks,308
Jason Dohring,828
Miriam Shor,261
Ryan Bollman,91
Monda Scott,77
Lynne Thigpen,230
Warren Oates,288
Michael Elphick,34
Bryan Dick,104
Kari Wuhrer,514
Kendrick Cross,529
Nathalie Baye,67
Diane Ladd,206
Pat Buchanan,2
Sean Cook,816
Blake Ritson,432
Leslie Carlson,20
Shawn Parsons,485
Tygo Gernandt,20
Paul Scofield,94
John Billingsley,323
Nathan Jones,635
Belinda Stewart-Wilson,223
Parminder Nagra,528
Wayne Brady,378
Mithun Chakraborty,284
Pablo Rosso,9
Alexis Biesiada,11
Richard Bull,742
Avery Schreiber,110
François Berléand,86
Luke Kirby,210
Kati Outinen,67
Albert Dupontel,46
Hitoshi Matsumoto,17
Cree Kelly,39
Synnøve Macody Lund,52
Adam Butcher,259
Jessica Chastain,0
Bill Erwin,191
Bipasha Basu,282
John Gallagher Jr.,338
Amiah Miller,509
Jessica Lindsey,89
Brendon Eggertsen,119
Jean Simmons,422
Robert J. Wilke,53
Gloria Sandoval,358
Rory Cochrane,407
Jack Thompson,155
Constance Shulman,804
Edwin Hodge,200
Cameron Mills,694
Lindsay Wagner,970
Peter Mark Richman,120
Kim Darby,152
Daniel Giménez Cacho,43
Clifton James,189
Kathleen Kinmont,120
Deborah Foreman,190
William Sanderson,400
Ryan Robbins,270
Claire Geare,78
George Sanders,333
Helen Hayes,164
Colleen O'Shaughnessey,45
Stéphane Rousseau,28
Kerr Smith,591
Carl Weathers,794
Matt Berry,572
Guillaume Denaiffe,0
Michael Lonsdale,135
Tim Thomerson,162
Bobby Batson,849
Jane Adams,280
Mia Kirshner,971
Tim Russ,625
Darryl Cox,96
Bhoomika Chawla,45
Megan Ambuhl Graner,0
Don Gordon,59
Paul Fix,116
Marc Trottier,680
Patch Darragh,309
Daniel Stewart Sherman,29
Jacqueline Bisset,522
Sandra Staggs,21
Tony Corvillo,93
Doug Bradley,337
John Stamos,2000
Cyndi Lauper,732
Irène Jacob,316
Sofia Black-D'Elia,266
Cody Howard,763
Ivan Barnev,12
Takashi Miike,1000
Lukas Haas,733
Lou Perryman,28
Bob Dylan,476
Isild Le Besco,40
Diganth,0
Gary Farmer,580
Jacques Gamblin,52
Douglas Smith,480
Matthew Sunderland,10
Bubba Smith,760
Christopher Atkins,511
James Fleet,398
Richard Basehart,169
Indiana Evans,560
Kevin Michael Richardson,441
Jeanne Crain,135
Juan Luis Galiardo,26
Sarah Drew,416
Gerardo Taracena,154
Fedja van Huêt,20
Yeong-ae Lee,126
Clovis Fouin,12
Anthony Chau-Sang Wong,96
Dominique McElligott,356
Artyom Bogucharskiy,2
Sana Saeed,82
Dove Cameron,570
Sameer Ali Khan,26
Jonathan Crombie,517
Michael J. Morris,298
James Fox,146
Rawiri Paratene,20
Claude-Oliver Rudolph,9
Cara Delevingne,559
Aleksey Chadov,28
Susan Clark,95
Duane Jones,108
Dorothy Lamour,178
Harold Gould,222
Katy Jurado,119
Lorelei Linklater,193
Dr. Dre,231
Kevin McCarthy,403
William Hickey,246
Alan Taylor,12
Aaron Hughes,113
Gina McKee,291
Balinese Tari Legong Dancers,0
Eva LaRue,576
Leos Carax,227
Kathleen Robertson,774
Jordan Trovillion,163
Alan Williams,29
Danny Arroyo,575
Enrique Villén,27
Michael Cerveris,238
Tiffany Thornton,248
Clemens Schick,29
Angelo Tsarouchas,246
Elena Lyadova,45
Bonnie Lee Bouman,11
Marian Marsh,12
Shannon Woodward,637
Jessica McNamee,129
Rachel Sterling,134
Susannah York,269
George Reeves,384
Reece Ritchie,236
Howard Keel,244
Seu Jorge,69
Reginald Owen,78
Susan Blommaert,64
Jamie Farr,421
Barnard Hughes,89
Lloyd Bridges,575
Larenz Tate,582
Peter Finch,139
Kate Dickie,191
Master P,118
Frank Vincent,356
Lynn Redgrave,258
Soledad Villamil,88
Gloria Votsis,209
Dan Hicks,328
Zaide Silvia Gutiérrez,16
Johanna Mørck,4
Mykel Shannon Jenkins,294
Christian Campbell,168
Ash Cook,133
Jerry Brown,3
Shelly Varod,145
Joe Egan,53
Sofie Gråbøl,108
Adrian Gonzalez,69
Matt Gerald,585
John Simm,472
Rus Blackwell,144
Alexandra Rapaport,69
Darren McGavin,577
Perry King,251
Agame Malembo-Emene,2
Terry Walters,390
Wilson Guerrero,11
Gert Fröbe,202
Lionel Barrymore,275
Molly Ephraim,332
Daoming Chen,10
Robert Rusler,359
Adelaide Kane,810
Victoria Leigh,419
Mikki Padilla,65
Gregory Sierra,162
Eric Stuart,82
Ron Palillo,316
Sessue Hayakawa,119
Leslie Jordan,805
Lila Kedrova,16
LisaGay Hamilton,178
Deon Richmond,209
Seth Green,0
Walter Brennan,376
Jimmy Jean-Louis,407
Ariane Labed,63
Robert Neary,168
A. Michael Baldwin,174
Jessica De Gouw,476
Lisa Ray,329
Jack Albertson,177
Zach Galligan,233
George Hamilton,341
Stuart Margolin,350
Grace Gummer,481
Nambitha Mpumlwana,64
Joe Howard,26
Ji-tae Yu,78
Michael Bolten,399
Robb Wells,324
Héctor Jiménez,327
Kevin Gage,366
Harry Treadaway,260
Megalyn Echikunwoke,476
Megan Hilty,341
William Atherton,317
Amanda Mealing,37
Kostja Ullmann,38
Betsy Russell,298
Patti LuPone,325
Darren Keefe Reiher,27
Kristi Clainos,124
Ashley Martin,302
Alex Meraz,606
Sarah Rafferty,810
David Bianchi,715
Shantel VanSanten,747
Brooke Newton,779
Jack Taylor,39
Cybill Shepherd,536
Matheus Nachtergaele,14
Glenn Ford,416
Patrick Bauchau,158
Patrick Brammall,96
Gregory Cruz,234
Paula Jai Parker,247
Joe E. Brown,103
Terry,421
Sanjay Dutt,426
Patricia Richardson,222
Kelly Reno,81
Neeru Bajwa,85
Frank Hvam,33
Cesar Romero,370
Ariane Schluter,3
Tom Everett,84
Agata Trzebuchowska,64
Laurie Metcalf,549
Gabrielle Reece,52
Nacho Vigalondo,76
Nick Searcy,272
Joel Fuhrman,2
Zackary Steven Graham,118
Melvyn Douglas,189
La'Princess Jackson,309
Michael Weston,379
Hans Weingartner,12
Michel Côté,16
Ato Essandoh,265
Christopher Simpson,41
Joshua Ormond,291
Tal Bachman,4
Diana Scarwid,157
Carly Schroeder,261
Emily Pearson,12
Rüdiger Vogler,10
Cecilia Pillado,625
Emmanuel Kabongo,677
Kevin Leslie,159
Basil Rathbone,659
Deems Taylor,0
Sebastian Aguilar,0
Dana Kimmell,31
Melanie Kinnaman,27
Kayla Ewell,399
Greer Garson,284
Ethan Peck,800
Zohra Segal,79
Daniel Kash,52
Per Christian Ellefsen,21
Arturo Castro,22
Martha Higareda,718
David Proval,354
Michael Chapman,366
Maria Doyle Kennedy,308
Daniela Bianchi,201
Jessica Dublin,30
Alan Autry,360
John Beck,66
Ruby Harris,189
Brock Peters,226
Brendan Sexton III,148
Julia Taylor Ross,44
Ulrich Mühe,284
Charles Linton,6
Albert Delpy,8
Jorge Salinas,79
Sarah Clarke,482
Celeste Holm,297
Shelley Waggener,248
Brendan Mackey,5
George W. Bush,125
Emily Ratajkowski,625
Gano Grills,147
Tawny Kitaen,194
Peter Stickles,51
Ronny Dayag,0
Dick Cheney,21
Buzz Aldrin,142
Krysta Rodriguez,131
Nathan Parsons,357
Stephane Gauger,3
Bobby Deol,89
Neil Maskell,246
Sanjay Mishra,85
Jansen Panettiere,488
Kent McCord,196
Michael McLafferty,152
Kenneth Nkosi,18
Sean Rogerson,113
Tommy Knight,94
William Lee Scott,167
Tim Rice,27
Charlotte Rae,430
Linus Roache,303
Mario Cimarro,453
Everett Sloane,29
Ben Schwartz,463
Lex Barker,57
Zero Mostel,164
Eddie Vedder,562
Wray Crawford,418
Michael Aaron Milligan,1000
Anthony Edwards,495
Mike 'The Miz' Mizanin,217
Ahmed Hassan,10
Lizzie Brocheré,323
Remo,168
Philippe Petit,27
Peter Feeney,40
Adam Ratcliffe,606
Ashley Bell,400
Ophelia Lovibond,548
Ana Claudia Talancón,163
Gina Montana,458
Paul Williams,356
David Patrick Kelly,380
Bill Irwin,471
T.R. Silambarasan,77
J.J. Abrams,14000
Lhakpa Dorji,0
Jim Backus,399
Luke Edwards,258
Keenan Tracey,108
Ludger Pistor,37
Will Estes,461
CJ Adams,450
Chris Cleveland,42
Gordon Jump,70
Natalie Press,46
Ann Miller,302
Ben Johnson,230
Michael Welch,611
Clifton Powell,469
Adel Karam,4
Pixie Davies,51
Lior Ashkenazi,30
Revathy,96
Marisa Coughlan,163
Gage Golightly,253
Donald Gibb,403
Leo Fitzpatrick,202
Elizabeth Meriwether,25
Jennifer Westfeldt,321
T.J. Storm,454
Rhonda Fleming,239
Gastón Pauls,22
Yuval Diskin,0
Salvator Xuereb,424
Theresa Russell,243
Lisa Brave,191
Jeff Garlin,522
Stanley Blystone,8
Jim O'Heir,485
Jenny O'Hara,189
John Arcilla,8
Georgina Reilly,98
Joey Lauren Adams,781
Jaime Zevallos,228
Bruce Hopkins,46
Jon Hunter,0
Sarah Lind,134
Joe Armstrong,98
Amber Marshall,265
Johnny Messner,522
Balthazar Getty,418
Glen Powell,571
Billy Gilbert,47
Mercedes Morán,5
Gabriel Beristain,70
Christina Moore,301
Adam DiMarco,382
Léa Drucker,4
Jonathan Mangum,147
Michael Douglas,0
Paprika Steen,278
Kieu Chinh,24
Tucker Smallwood,121
Aziz Muradillayev,0
Lenore Zann,23
Uday Chopra,145
Bryan Callen,460
Chloe Bridges,516
Joan Fontaine,991
Adrienne King,121
Jane Wyman,160
Jenni Rivera,245
Jean Peters,79
Walter Pidgeon,176
Riley Keough,691
Elvis Nolasco,372
Laura San Giacomo,531
Vera Wilson,24
Randeep Hooda,209
Nigel Bruce,62
Luigi Pistilli,34
Regina Casé,9
Marshall Allman,330
Coyote Shivers,44
Johnny Amaro,29
Antonio Arrué,2
Denise Boutte,295
Kristin Booth,134
Victor Zinck Jr.,91
Cleavon Little,434
Sabrina Carmichael,500
Deirdre Lorenz,350
Gary Stretch,404
John Jarratt,457
CindyMarie Small,4
Frank Rautenbach,48
Marilyn Norry,95
Yayan Ruhian,342
Anella Vastola,0
Rosie Traynor,5
Shazahn Padamsee,22
Ron Rifkin,184
Renee Olstead,305
